Country,Year,GDP,Consumption,Public_Consumption,Public_Investment,Private_Investment,Debt,Taxes,Wages,Private_Capital,Public_Capital,DebttoGDP
Hungary,1999,79132.35193191956,41907.041383570104,16791.743874819847,2656.8183377942487,19812.126827259624,47352.6182142612,34554.937890330104,34069.041246311164,146785.84347102031,22512.12492926189,0.34877012152683673
Hungary,2000,82620.78850737616,43745.24898537654,17492.10848418476,2939.509115506023,21044.57901178896,45107.90439992269,36561.07066932938,36605.0376860143,151945.6806332695,23851.46541371681,0.3389994274564384
Hungary,2001,85977.15627057511,45161.595053387915,18109.953339249423,3367.303123121404,21347.436521340856,46972.919588927376,37152.978558955714,38529.470701056314,157744.64885451808,25408.10762710652,0.38170720483845183
Hungary,2002,90043.40027344681,47846.54365741379,19679.51532180174,4618.240658279292,22244.647090551032,51437.35183071385,37980.256638611194,39713.75889015717,163226.3425870228,27302.769479166363,0.45541816363517323
Hungary,2003,93590.62903706646,51390.24147868428,21562.779489217926,3535.7249329225874,22135.54605982311,52603.969989068864,39294.19656166153,42614.528470635,168394.348301862,30310.050391284007,0.4524844040019007
Hungary,2004,98236.05265934375,52529.102141776966,21655.39312802598,3727.3015017056846,23640.3174565959,59206.71019776561,41429.96143160264,44659.97678862409,174818.46260743667,32365.473040076624,0.514119802585494
Hungary,2005,102459.60704835894,54467.82638067894,22689.41057253842,4258.740077689579,24444.51950684006,60885.66120587738,42604.06462872263,47321.96138039746,181745.92128696392,34473.71766709182,0.5277748134879862
Hungary,2006,106490.95200629426,55176.216041097796,23441.13018929051,5447.887258758736,25041.190354977552,72081.73277178693,44873.65205720369,48569.213680751614,187946.04359461056,36881.78211530684,0.585014959734023
Hungary,2007,106845.00574052811,56413.631144974424,22210.62519569982,4517.378144243816,25325.853251226385,69411.6480534391,47864.941029120135,48768.604529798555,193317.209660574,40288.78516916463,0.6224277825535666
Hungary,2008,107906.52249738404,56252.52877572375,23078.18027804076,3443.0215755643035,25205.2419153919,73065.22497384026,48547.3117743784,48872.48990981115,199983.38420856645,42835.08286702058,0.6794519766103798
Hungary,2009,100632.68068597253,52391.63104995577,22202.977947837953,3441.4802340577476,22828.517527685115,81566.46024961898,46191.339010690346,45219.93541029385,207156.59724884623,44270.1767106333,0.7604696553678061
Hungary,2010,101707.81787906957,52116.12916407024,21811.50463270372,3691.9635104350755,20454.995862745294,80818.97212205411,45238.78599666976,44534.63546189129,211627.8343688772,45649.821258927164,0.7778605583109355
Hungary,2011,103656.81122889754,53083.67805344093,21385.114189594366,3440.323613412069,20284.48302147598,74074.9474026568,45526.22752543476,45337.99510107838,213334.9290752578,47218.35781039349,0.7031047852616366
Hungary,2012,102268.67289949059,53308.3406640617,20463.370225650047,3788.6909023956136,19636.56635502547,79305.55839692314,47981.21969681471,45788.75227593543,214656.8160511595,48408.6805542802,0.7581080090498191
Hungary,2013,104346.88064684083,52640.24583218482,20582.62636162241,4544.424366788153,21765.84688575133,80530.76475452514,49545.087950343535,45778.791869570094,215386.29349044256,49980.362075654375,0.7559622243713734
Hungary,2014,108869.78868048162,52624.80547137358,21745.228929478257,5794.905397657466,24060.631501351465,81472.47931853552,51433.061675812925,46415.04218199689,217205.69994931525,52191.77268852408,0.7309263751171999
Hungary,2015,112854.0,53329.8,22227.8,7352.6,25159.3,83840.4,54566.0,47234.3,219404.485885788,55421.3077408284,0.742910308894678
Hungary,2016,115606.22285680291,55721.339758462724,22990.36230590755,3639.1218989826875,22673.567731572373,86743.70872746743,51874.39268645766,49633.43050350011,221876.97986694332,60279.73987594548,0.7567455958522559
Hungary,2017,120374.40036333016,58195.46026549594,24249.259620206456,5449.857601074852,26864.57436440879,86353.16825781303,53196.26451191704,51770.856002043736,223731.47945125797,60884.11217827164,0.7581828006995617
Hungary,2018,127122.11466865227,60148.92032762472,24925.819061801936,7342.795979151154,31624.62769918094,86910.92702903946,55776.15413253909,53528.108711839166,228853.85644335442,63473.4762610443,0.7345464653682824
Hungary,2019,133576.12232504602,63189.913803261166,26673.58536740114,8311.414043451858,36231.63447507002,85435.47027526762,58536.015009652954,56226.01491901495,236748.18252525883,67953.52466465347,0.7056657908561393
Hungary,2020,127781.30287648055,60893.01478702274,27082.229824174206,8192.543956448171,33795.151916427574,97054.1822997131,55641.32273964541,53656.66151695726,274478.71761946223,62651.035411928926,0.8259471270379872
Hungary,2021,137010.93635342902,63980.76191991796,28486.94622001786,8535.57188198994,37348.31003722074,101404.48593834267,56143.2777232581,55693.799786047086,297452.6022614897,68260.63998241125,0.837141932262471
Hungary,2022,142700.3183419128,69011.02343538337,29543.060823625037,7580.940124627473,39296.43050663777,103186.8057437009,61127.4891628285,58092.31915470063,313083.3697569525,72224.51630761738,0.8540695733276691
Hungary,2023,141533.4204255075,66778.04415860346,28944.916592494763,7284.01619340205,35900.75798903213,103393.22116626949,60433.76209480605,58444.615119584254,313775.4333571526,72754.03432272216,1.0177334764251917
Hungary,2024,142326.30590055676,70371.42699252587,29275.72772612354,6053.00968459445,32817.5814763135,100553.30671566528,59952.68225964661,61095.561112415904,318803.684885345,74288.00210010086,1.0227694668173817
Ireland,1995,93177.98178069883,47672.19354042959,16043.204764505841,2188.43056754709,16838.75742251511,72830.15875812733,35663.48915475834,40780.2230719081,157942.9482260767,36206.523211598564,0.4435951413637713
Ireland,1996,100054.467143743,51594.29519515997,16601.58541286095,2476.99810621931,19830.062511521897,74488.7630092678,38382.57721765071,43403.777505907594,163477.62231952607,37111.05871006,0.4442250433071195
Ireland,1997,111082.28001944581,54513.39936801168,17905.17136606709,2849.264705882353,23378.858774914926,66235.87141468158,41617.950899368014,46544.11764705883,171825.07217728492,38388.00170271002,0.3924937442080559
Ireland,1998,120818.94935740743,57807.08726362041,18784.847712310482,3293.0432044149184,27215.332243600318,62013.85660513173,43794.07045273908,49186.44931991662,181733.74252593733,39760.38907729854,0.34226998513014845
Ireland,1999,133540.3324458516,62319.0616679859,20066.05742246528,4161.185867453408,32263.222278189536,62190.256889976255,48134.99316399223,53055.62351586673,194400.55334027272,41594.65869323681,0.3235943718915191
Ireland,2000,146098.00436293124,67598.09862379143,21543.45425655113,5116.74880827341,34686.64996902857,53198.001669763806,51752.44404944655,56453.367805876485,210728.2618614955,44332.66031249382,0.27040684212127164
Ireland,2001,153849.99243913504,69159.10580170373,23692.60043348959,6492.640758102728,36826.0749029689,51659.48384495187,50974.09143606029,59094.20837743839,223020.72795733102,46970.57048046968,0.2664602015903127
Ireland,2002,162926.37051945564,71504.93578685069,25752.467893425342,6877.995016292889,38439.3569101016,50327.295380486874,52723.66781675293,60144.479585968955,237061.40069781535,51152.44214465163,0.25784162420155016
Ireland,2003,167837.1398595755,73404.89064643694,26947.669391378535,6169.915952822902,41810.06952050452,50069.28992240912,55404.26807475472,63032.03938342345,249840.11099947864,55198.68896917528,0.2587544094014916
